job_id,title,seniority,company,industry,company_size,location,posted_date,listing_age_days,salary,salary_missing,repost_count,repost_interval_days,company_open_roles,company_closed_roles,closure_ratio,hiring_velocity,role_recycling_score,engagement_latency,status,is_ghost,listing_longevity_ratio,open_close_ratio
237E4AE8,Marketing Manager,Intern,Pulse Technologies,Media,mid,"Austin, TX",10-02-2026,40,36193,0,3,73,6,13,1,0.5,0.427854432,10,closed,0,1.3333,0.4615
4C8A5726,Technical Lead,Junior,Helix Networks,Consulting,startup,"New York, NY",15-02-2026,13,58001,0,0,0,7,7,1,0.58,0.1515,4,open,0,0.4333,1
68C7A291,Backend Developer,Director,Neon Digital,Consulting,enterprise,Remote,25-01-2026,51,222706,0,3,70,20,17,0.85,1.67,0.332055367,6,closed,0,1.7,1.1765
2451221D,Software Engineer,Mid-level,Cascade Innovations,Technology,mid,"Toronto, CA",17-02-2026,11,80423,0,1,52,11,9,0.8182,0.92,0.0867,8,open,0,0.3667,1.2222
F8101539,Financial Analyst,Senior,Vortex Systems,Retail,mid,"Boston, MA",25-02-2026,3,122916,0,0,0,14,24,1,1.17,0.2904,4,open,0,0.1,0.5833
6B1FEB83,Data Scientist,Intern,Monolith Studio,Retail,mid,"Phoenix, AZ",24-08-2025,188,50212,0,4,18,23,2,0.087,1.92,0.8115,15,open,1,6.2667,11.5
BC60339C,HR Generalist,Principal,Horizon Collective,Logistics,startup,"Austin, TX",18-02-2026,10,189580,0,0,0,17,12,0.7059,1.42,0.2781,2,open,0,0.3333,1.4167
D460D5D8,ML Engineer,Lead,Prism Networks,Education,enterprise,"Chicago, IL",01-02-2026,27,159380,0,0,0,18,5,0.2778,1.5,0.0417,1,open,0,0.9,3.6
A7CB9D88,QA Engineer,Mid-level,Neon Digital,Consulting,enterprise,"Seattle, WA",27-09-2025,154,102534,0,6,15,60,0,0,5,0.7805,44,closed,1,5.1333,120
3461291,Scrum Master,Lead,Vertex Partners,Logistics,enterprise,"London, UK",25-02-2026,3,179696,0,1,83,10,17,1,0.83,0.0615,9,closed,0,0.1,0.5882
F8F09E7C,Sales Executive,Lead,Helix Works,Consulting,mid,"Austin, TX",21-10-2025,130,161987,0,8,20,28,0,0,2.33,0.6923,19,open,1,4.3333,56
325F4E43,Cloud Architect,Principal,Neon Dynamics,Technology,startup,"Los Angeles, CA",15-04-2025,319,,1,9,9,48,4,0.0833,4,0.9563,22,open,1,10.6333,12
63B3DB59,QA Engineer,Principal,Arch Group,Manufacturing,enterprise,"San Francisco, CA",21-07-2025,222,,1,9,13,43,3,0.0698,3.58,0.7439,24,open,1,7.4,14.3333
434F8ABD,Frontend Developer,Director,Quantum Solutions,Finance,enterprise,"London, UK",25-09-2025,156,200551,0,12,16,22,2,0.222758653,1.83,0.7369,34,open,1,5.2,11
D54C7148,Platform Engineer,Senior,Helix Global,Finance,startup,"Berlin, DE",05-10-2025,146,,1,4,17,15,2,0.1333,1.25,0.7123,12,open,1,4.8667,7.5
7052C622,HR Generalist,Principal,Monolith Solutions,Consulting,startup,"Toronto, CA",23-11-2025,97,,1,8,21,17,3,0.1765,1.42,0.7166,45,open,1,3.2333,5.6667
F80EABB1,Product Manager,Senior,Prism Dynamics,Technology,enterprise,"Seattle, WA",27-02-2026,1,,1,0,0,19,15,0.7895,1.58,0.0559,6,closed,0,0.0333,1.2667
80F398AF,Financial Analyst,Principal,Forge Partners,Manufacturing,enterprise,"Boston, MA",31-01-2026,28,174885,0,0,0,16,18,1,1.33,0.2953,4,closed,0,0.9333,0.8889
5.03E+06,QA Engineer,Senior,Pinnacle Technologies,Retail,startup,"Dallas, TX",08-09-2025,173,,1,6,19,28,0,0,2.33,0.9535,41,open,1,5.7667,56
D9AEBEB3,Sales Executive,Director,Neon Ventures,Retail,enterprise,"Boston, MA",30-01-2026,29,248647,0,1,51,7,14,1,0.58,0.3153,3,open,0,0.9667,0.5
6E7B4946,Frontend Developer,Senior,Helix Labs,Media,mid,"Atlanta, GA",12-02-2026,16,,1,1,64,18,16,0.8889,1.5,0.3077,3,closed,0,0.5333,1.125
64CF3A32,HR Generalist,Senior,Helix Global,Finance,startup,"Chicago, IL",28-11-2025,92,157709,0,11,20,52,4,0.0769,4.33,0.9137,23,closed,1,3.0667,13
0F6E6451,Data Engineer,Junior,Jade Ventures,Retail,startup,"San Francisco, CA",14-02-2026,14,57777,0,1,69,9,20,1,0.75,0.0007,1,open,0,0.4667,0.45
4F200B19,Site Reliability Engineer,Intern,Zenith Studio,Consulting,enterprise,"Dallas, TX",02-02-2026,26,,1,0,0,16,24,1,1.33,0.0083,2,closed,0,0.8667,0.6667
FAFDF785,Data Analyst,Senior,Axiom Works,Logistics,startup,"Atlanta, GA",01-03-2025,364,123649,0,4,15,15,2,0.1333,1.25,0.9513,36,open,1,12.1333,7.5
0A78D4AC,ML Engineer,Intern,Ionic Analytics,Manufacturing,enterprise,"Atlanta, GA",09-08-2025,203,,1,7,8,30,4,0.1333,2.5,0.6635,27,open,1,6.7667,7.5
